Currency,Rate
AED,3.666694
AFN,87.849455
ALL,118.18629
AMD,405.793845
ANG,1.800061
AOA,434.070868
ARS,148.348479
AUD,1.5407579999999998
AWG,1.796918
AZN,1.6898849999999999
BAM,1.9748169999999998
BBD,2.016649
BDT,100.867615
BGN,1.9573429999999998
BHD,0.37676699999999996
BIF,2047.488557
BMD,0.998288
BND,1.428174
BOB,6.901562
BRL,5.173925
BSD,0.998833
BTC,4.9785764e-05
BTN,81.459125
BWP,13.175848
BYN,2.533458
BYR,19566.443549
BZD,2.013104
CAD,1.349656
CDF,2043.495171
CHF,0.978132
CLF,0.033710000000000004
CLP,930.264838
CNY,7.103835
COP,4488.811688
CRC,624.189968
CUC,0.998288
CUP,26.45463
CVE,112.257664
CZK,24.528945
DJF,177.415931
DKK,7.437604
DOP,53.358375
DZD,139.717382
EGP,19.635861
ERN,14.974319
ETB,52.790044
EUR,1.0
FJD,2.286154
FKP,0.863116
GBP,0.8705219999999999
GEL,2.805157
GGP,0.863116
GHS,10.484255
GIP,0.863116
GMD,55.499873
GNF,8759.976035
GTQ,7.880402
GYD,208.963242
HKD,7.8365100000000005
HNL,24.66261
HRK,7.522401
HTG,120.851334
HUF,419.171273
IDR,15159.501455
ILS,3.498206
IMP,0.863116
INR,81.277858
IQD,1457.500387
IRR,42227.579737
ISK,141.897092
JEP,0.863116
JMD,151.969664
JOD,0.707768
JPY,143.878746
KES,120.643116
KGS,80.123989
KHR,4124.925404
KMF,499.992616
KPW,898.459187
KRW,1417.000171
KWD,0.30886
KYD,0.8323269999999999
KZT,471.664772
LAK,16537.394039
LBP,1510.164705
LKR,359.55087
LRD,153.535128
LSL,17.819446
LTL,2.947685
LVL,0.6038549999999999
LYD,5.046358
MAD,10.912884
MDL,19.474859
MGA,4240.035491
MKD,62.206221
MMK,2097.443889
MNT,3218.921605
MOP,8.075666
MRO,356.388622
MUR,45.57434
MVR,15.423245
MWK,1025.11795
MXN,19.946092
MYR,4.639986
MZN,63.720613
NAD,17.819691
NGN,431.629876
NIO,35.90833
NOK,10.45163
NPR,130.359243
NZD,1.7446679999999999
OMR,0.384417
PAB,0.998833
PEN,3.955549
PGK,3.519253
PHP,58.527639
PKR,224.850963
PLN,4.813794
PYG,7075.872
QAR,3.634744
RON,4.939427
RSD,117.303807
RUB,58.923943
RWF,1062.674393
SAR,3.752636
SBD,8.136141
SCR,13.34277
SDG,572.522015
SEK,10.84818
SGD,1.421657
SHP,1.375042
SLL,15767.958255
SOS,567.525003
SRD,28.61443
STD,20662.544744
SVC,8.740207
SYP,2508.228705
SZL,17.819229
THB,37.385638
TJS,9.852727999999999
TMT,3.494008
TND,3.226449
TOP,2.420599
TRY,18.54929
TTD,6.771205
TWD,31.581851
TZS,2326.011014
UAH,36.883939
UGX,3826.186474
USD,0.998288
UYU,41.64464
UZS,10996.105093
VND,23844.107356
VUV,118.758207
WST,2.720912
XAF,662.344952
XAG,0.047492
XAU,0.000579
XCD,2.697923
XDR,0.779922
XOF,662.311456
XPF,121.524738
YER,249.821569
ZAR,17.60915
ZMK,8985.793608
ZMW,15.75456
ZWL,321.448308
